IdHecho,Rol,Sexo,Edad
2021-0063,pasajero_acompañante,F,31
2021-0064,peaton,M,37
2021-0065,peaton,F,63
2021-0066,peaton,M,59
2021-0067,conductor,M,27
2021-0068,conductor,M,39
2021-0069,peaton,M,17
2021-0070,conductor,M,31
2021-0071,peaton,M,88
2021-0072,peaton,F,57
2021-0073,ciclista,F,76
2021-0074,conductor,M,55
2021-0075,peaton,M,65
2021-0076,conductor,M,31
2021-0077,conductor,F,31
2021-0078,conductor,M,22
2021-0079,peaton,M,
2021-0080,conductor,M,32
2021-0081,conductor,M,26
2021-0082,conductor,M,38
2021-0083,conductor,M,30
2021-0084,conductor,M,32
2021-0097,ciclista,M,53
2021-0085,conductor,M,49
2021-0086,peaton,M,75
2021-0087,peaton,F,73
2021-0088,conductor,M,45
2021-0089,conductor,M,41
2021-0090,peaton,M,73
2021-0091,conductor,M,24
2021-0092,peaton,F,50
2021-0093,pasajero_acompañante,F,18
2021-0094,pasajero_acompañante,F,43
2021-0095,conductor,M,27
2021-0096,conductor,M,60
