ID,Anio,Mes,Hora,TipoCalle,Calle,Comuna,pos x,pos y,Victima,Acusado,Rol,Sexo,Edad
2017-0064,2017,5,5,calle,maipu,1,-58.37653284,-34.60582475,de_carga,auto,pasajero_acompañante,M,61
2017-0065,2017,5,16,avenida,suarez av.,4,-58.37709334,-34.64035082,bicicleta,de_carga,ciclista,M,21
2017-0066,2017,5,18,avenida,san martin av.,15,-58.46002142,-34.60409469,peaton,autobus,peaton,M,10
2017-0067,2017,5,2,avenida,directorio av.,6,-58.4338197,-34.62801894,moto,de_carga,conductor,M,21
2017-0068,2017,5,19,avenida,"rabanal, francisco, intendente av.",8,-58.43580656,-34.66437532,moto,objeto fijo,conductor,M,32
2017-0070,2017,5,13,calle,nueva york,11,-58.50791763,-34.59804273,peaton,auto,peaton,M,80
2017-0072,2017,6,23,avenida,de los constituyentes av.,12,-58.49175088,-34.58226957,auto,auto,conductor,M,25
2017-0073,2017,6,9,avenida,corrientes av.,3,-58.40781467,-34.60425669,moto,auto,conductor,M,19
2017-0075,2017,6,22,avenida,de mayo av.,1,-58.381542,-34.60906385,peaton,moto,peaton,M,55
2017-0076,2017,6,14,avenida,"castillo, ramon s., pres. av.",2,-58.38526125,-34.5780581,peaton,de_carga,peaton,F,30
2017-0077,2017,6,23,calle,fray justo santamaria de oro,14,-58.42934104,-34.58451712,moto,de_carga,conductor,F,60
2017-0079,2017,6,16,calle,mexico,3,-58.40657493,-34.61781124,moto,de_carga,conductor,M,33
2017-0080,2017,6,10,avenida,"alberdi, juan bautista av.",9,-58.49525314,-34.64487785,peaton,de_carga,peaton,F,95
2017-0082,2017,6,22,avenida,entre rios av.,4,-58.39092851,-34.62932696,peaton,auto,peaton,M,36
2017-0083,2017,7,0,avenida,"alberdi, juan bautista av.",9,-58.49603546,-34.64564271,moto,de_carga,conductor,M,37
2017-0084,2017,7,12,avenida,del libertador av.,2,-58.38502878,-34.58703485,peaton,autobus,peaton,F,73
2017-0085,2017,7,14,avenida,tacuari,4,-58.37261143,-34.63150425,peaton,autobus,peaton,M,84
2017-0086,2017,7,7,avenida,rivadavia av.,9,-58.51876802,-34.63905965,peaton,moto,peaton,F,30
2017-0087,2017,7,10,calle,24 de noviembre,3,-58.41095567,-34.61516101,peaton,auto,peaton,F,73
2017-0088,2017,7,22,avenida,paseo colon av.,1,-58.36797542,-34.62519403,peaton,autobus,peaton,M,43
2017-0090,2017,7,5,gral paz,chivilcoy av.,11,-58.51925642,-34.59171721,peaton,auto,peaton,M,22
2017-0092,2017,7,22,autopista,autopista 25 de mayo,1,-58.38268809,-34.62282019,peaton,auto,peaton,M,66
2017-0093,2017,7,16,autopista,"lugones, leopoldo av.",13,-58.43633522,-34.54966288,peaton,auto,peaton,M,24
2017-0094,2017,7,8,calle,"hugo, victor",10,-58.52640838,-34.61765855,bicicleta,de_carga,ciclista,F,56
2017-0095,2017,8,8,avenida,cordoba av.,14,-58.41894306,-34.59778875,moto,auto,conductor,M,36
2017-0096,2017,8,19,avenida,cabildo av.,13,-58.46756026,-34.54972741,peaton,autobus,peaton,M,87
2017-0098,2017,8,12,calle,"bonifacio, jose",7,-58.45715752,-34.63132912,peaton,auto,peaton,F,61
2017-0099,2017,8,19,avenida,"figueroa alcorta, pres. av.",14,-58.42406784,-34.56213916,bicicleta,auto,ciclista,M,28
